차량등급,가격
실차주현대 코나 일렉트릭 프리미엄 ,"2,990만원"
실차주현대 코나 1.6 터보 4WD 프리미엄,"2,100만원"
현대 코나 하이브리드 1.6 HEV 프리미엄 스페셜,"2,530만원"
현대 코나 일렉트릭 모던 ,"2,580만원"
현대 코나 1.6 터보 모던 아트,"1,820만원"
현대 코나 하이브리드 1.6 HEV 프리미엄 스페셜,"2,640만원"
현대 코나 1.6 터보 아이언맨 에디션,"2,150만원"
현대 코나 일렉트릭 프리미엄 ,"2,850만원"
현대 코나 1.6 터보 모던 테크,"1,700만원 1,750만원"
현대 코나 1.6 터보 모던,"1,430만원"
현대 코나 1.6 터보 모던 팝,"1,510만원"
현대 코나 일렉트릭 모던 ,"2,390만원"
현대 코나 일렉트릭 프리미엄 ,"2,680만원"
현대 코나 일렉트릭 프리미엄 ,"3,110만원"
실차주현대 코나 일렉트릭 프리미엄 ,"2,700만원"
실차주현대 코나 디젤 1.6 모던 팝,"1,560만원"
현대 코나 일렉트릭 프리미엄 ,"2,749만원"
현대 코나 1.6 터보 모던 팝,"1,850만원"
현대 코나 디젤 1.6 모던 팝,"1,680만원"
현대 코나 디젤 1.6 모던,"1,510만원"
